Bildnummer,Y Koordinate,X Koordinate,Bildbeschreibung *,Legende DE **,Legende FR **,Legende IT **,Legende EN **,Map.geo.admin.ch link,Kommentar
funimag_com_funambule25,204919,561890,<b>Universit‚ de Neuchƒtel - Gare CFF, Fun'Ambule Neuchƒtel - Standseilbahn<\b> Baujahr: <b>2001<\b>,<b>Universit‚ de Neuchƒtel - Gare CFF, Fun'Ambule Neuchƒtel - Funiculaire<\b> Ann‚e de construction: <b>2001<\b>,<b>Universit‚ de Neuchƒtel - Gare CFF, Fun'Ambule Neuchƒtel - Funiculare<\b> Anno di costruzione: <b>2001<\b>,<b>Universit‚ de Neuchƒtel - Gare CFF, Fun'Ambule Neuchƒtel - funicular railway<\b> Year of construction: <b>2001<\b>,Prflink,,
cimg4497,162850,666650,<b>Handegg - Gelmersee Innertkirchen - Standseilbahn<\b> Baujahr: <b>1926<\b>,<b>Handegg - Gelmersee Innertkirchen - Funiculaire<\b> Ann‚e de construction: <b>1926<\b>,<b>Handegg - Gelmersee Innertkirchen - Funiculare<\b> Anno di costruzione: <b>1926<\b>,<b>Handegg - Gelmersee Innertkirchen - funicular railway<\b> Year of construction: <b>1926<\b>,Prflink,,
521_1575,86905,716041,<b>Brusino Arsizio - Serpiano Brusino Arsizio - Pendelbahn<\b> Baujahr: <b>1958<\b>,<b>Brusino Arsizio - Serpiano Brusino Arsizio - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1958<\b>,<b>Brusino Arsizio - Serpiano Brusino Arsizio - Funivia a va e vieni<\b> Anno di costruzione: <b>1958<\b>,<b>Brusino Arsizio - Serpiano Brusino Arsizio - aerial tramway<\b> Year of construction: <b>1958<\b>,Prflink,,
pict4426,182932,784085,<b>Clavadeler Berg - Jakobshorn Davos - Pendelbahn<\b> Baujahr: <b>1960<\b>,<b>Clavadeler Berg - Jakobshorn Davos - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1960<\b>,<b>Clavadeler Berg - Jakobshorn Davos - Funivia a va e vieni<\b> Anno di costruzione: <b>1960<\b>,<b>Clavadeler Berg - Jakobshorn Davos - aerial tramway<\b> Year of construction: <b>1960<\b>,Prflink,,
cimg6012,191501,739583,<b>Naraus - Fil da Cassons Flims - Pendelbahn<\b> Baujahr: <b>1956<\b>,<b>Naraus - Fil da Cassons Flims - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1956<\b>,<b>Naraus - Fil da Cassons Flims - Funivia a va e vieni<\b> Anno di costruzione: <b>1956<\b>,<b>Naraus - Fil da Cassons Flims - aerial tramway<\b> Year of construction: <b>1956<\b>,Prflink,,
cimg3899,214380,676040,<b>Kssnacht am Rigi - Seebodenalp Kssnacht am Rigi - Pendelbahn<\b> Baujahr: <b>1954<\b>,<b>Kssnacht am Rigi - Seebodenalp Kssnacht am Rigi - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1954<\b>,<b>Kssnacht am Rigi - Seebodenalp Kssnacht am Rigi - Funivia a va e vieni<\b> Anno di costruzione: <b>1954<\b>,<b>Kssnacht am Rigi - Seebodenalp Kssnacht am Rigi - aerial tramway<\b> Year of construction: <b>1954<\b>,Prflink,,
519_3014,114733,704503,<b>Orselina - Cardada Locarno - Pendelbahn<\b> Baujahr: <b>2000<\b>,<b>Orselina - Cardada Locarno - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>2000<\b>,<b>Orselina - Cardada Locarno - Funivia a va e vieni<\b> Anno di costruzione: <b>2000<\b>,<b>Orselina - Cardada Locarno - aerial tramway<\b> Year of construction: <b>2000<\b>,Prflink,,
cimg5327,156115,568177,<b>Plan Francey - Le Mol‚son Mol‚son Village - Pendelbahn<\b> Baujahr: <b>1964<\b>,<b>Plan Francey - Le Mol‚son Mol‚son Village - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1964<\b>,<b>Plan Francey - Le Mol‚son Mol‚son Village - Funivia a va e vieni<\b> Anno di costruzione: <b>1964<\b>,<b>Plan Francey - Le Mol‚son Mol‚son Village - aerial tramway<\b> Year of construction: <b>1964<\b>,Prflink,,
600_2524,156082,635513,<b>Stechelberg - Gimmelwald - Mrren Mrren - Pendelbahn<\b> Baujahr: <b>1965<\b>,<b>Stechelberg - Gimmelwald - Mrren Mrren - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1965<\b>,<b>Stechelberg - Gimmelwald - Mrren Mrren - Funivia a va e vieni<\b> Anno di costruzione: <b>1965<\b>,<b>Stechelberg - Gimmelwald - Mrren Mrren - aerial tramway<\b> Year of construction: <b>1965<\b>,Prflink,,
600_2419,156372,634703,<b>Mrren - Birg Mrren - Pendelbahn<\b> Baujahr: <b>1965<\b>,<b>Mrren - Birg Mrren - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1965<\b>,<b>Mrren - Birg Mrren - Funivia a va e vieni<\b> Anno di costruzione: <b>1965<\b>,<b>Mrren - Birg Mrren - aerial tramway<\b> Year of construction: <b>1965<\b>,Prflink,,
520_0770,156805,632097,<b>Birg - Schilthorn Mrren - Pendelbahn<\b> Baujahr: <b>1967<\b>,<b>Birg - Schilthorn Mrren - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1967<\b>,<b>Birg - Schilthorn Mrren - Funivia a va e vieni<\b> Anno di costruzione: <b>1967<\b>,<b>Birg - Schilthorn Mrren - aerial tramway<\b> Year of construction: <b>1967<\b>,Prflink,,
517_0791,181728,674741,<b>Stand - Kleintitlis Engelberg - Pendelbahn<\b> Baujahr: <b>1992<\b>,<b>Stand - Kleintitlis Engelberg - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1992<\b>,<b>Stand - Kleintitlis Engelberg - Funivia a va e vieni<\b> Anno di costruzione: <b>1992<\b>,<b>Stand - Kleintitlis Engelberg - aerial tramway<\b> Year of construction: <b>1992<\b>,Prflink,,
cimg4031,120125,633345,<b>Stalden - Staldenried Staldenried - Pendelbahn<\b> Baujahr: <b>1951<\b>,<b>Stalden - Staldenried Staldenried - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1951<\b>,<b>Stalden - Staldenried Staldenried - Funivia a va e vieni<\b> Anno di costruzione: <b>1951<\b>,<b>Stalden - Staldenried Staldenried - aerial tramway<\b> Year of construction: <b>1951<\b>,Prflink,,
cimg4089b,119845,634420,<b>Staldenried - Gspon Staldenried - Pendelbahn<\b> Baujahr: <b>1951<\b>,<b>Staldenried - Gspon Staldenried - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1951<\b>,<b>Staldenried - Gspon Staldenried - Funivia a va e vieni<\b> Anno di costruzione: <b>1951<\b>,<b>Staldenried - Gspon Staldenried - aerial tramway<\b> Year of construction: <b>1951<\b>,Prflink,,
cimg5859,186435,787560,<b>D”rfji - Mittelt„lli (Pischa-Bahn) Davos - Pendelbahn<\b> Baujahr: <b>1967<\b>,<b>D”rfji - Mittelt„lli (Pischa-Bahn) Davos - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1967<\b>,<b>D”rfji - Mittelt„lli (Pischa-Bahn) Davos - Funivia a va e vieni<\b> Anno di costruzione: <b>1967<\b>,<b>D”rfji - Mittelt„lli (Pischa-Bahn) Davos - aerial tramway<\b> Year of construction: <b>1967<\b>,Prflink,,
cimg5735,204228,823454,<b>Ravaisch - Alptrider Sattel II Samnaun - Pendelbahn<\b> Baujahr: <b>1995<\b>,<b>Ravaisch - Alptrider Sattel II Samnaun - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1995<\b>,<b>Ravaisch - Alptrider Sattel II Samnaun - Funivia a va e vieni<\b> Anno di costruzione: <b>1995<\b>,<b>Ravaisch - Alptrider Sattel II Samnaun - aerial tramway<\b> Year of construction: <b>1995<\b>,Prflink,,
cimg5986,187070,739220,<b>Mulania - Crap Sogn Gion Laax - Pendelbahn<\b> Baujahr: <b>1968<\b>,<b>Mulania - Crap Sogn Gion Laax - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1968<\b>,<b>Mulania - Crap Sogn Gion Laax - Funivia a va e vieni<\b> Anno di costruzione: <b>1968<\b>,<b>Mulania - Crap Sogn Gion Laax - aerial tramway<\b> Year of construction: <b>1968<\b>,Prflink,,
cimg6402,208577,704175,<b>Weglosen - Seebli Hoch-Ybrig - Pendelbahn<\b> Baujahr: <b>1969<\b>,<b>Weglosen - Seebli Hoch-Ybrig - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1969<\b>,<b>Weglosen - Seebli Hoch-Ybrig - Funivia a va e vieni<\b> Anno di costruzione: <b>1969<\b>,<b>Weglosen - Seebli Hoch-Ybrig - aerial tramway<\b> Year of construction: <b>1969<\b>,Prflink,,
519_2290a,140440,683890,<b>San Carlo - Robiei San Carlo - Pendelbahn<\b> Baujahr: <b>1964<\b>,<b>San Carlo - Robiei San Carlo - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1964<\b>,<b>San Carlo - Robiei San Carlo - Funivia a va e vieni<\b> Anno di costruzione: <b>1964<\b>,<b>San Carlo - Robiei San Carlo - aerial tramway<\b> Year of construction: <b>1964<\b>,Prflink,,
cimg6680,91079,621986,<b>Trockener Steg - Klein Matterhorn Zermatt - Pendelbahn<\b> Baujahr: <b>1979<\b>,<b>Trockener Steg - Klein Matterhorn Zermatt - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1979<\b>,<b>Trockener Steg - Klein Matterhorn Zermatt - Funivia a va e vieni<\b> Anno di costruzione: <b>1979<\b>,<b>Trockener Steg - Klein Matterhorn Zermatt - aerial tramway<\b> Year of construction: <b>1979<\b>,Prflink,,
cimg5784,204205,823495,<b>Ravaisch - Alptrider Sattel I Samnaun - Pendelbahn<\b> Baujahr: <b>1978<\b>,<b>Ravaisch - Alptrider Sattel I Samnaun - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1978<\b>,<b>Ravaisch - Alptrider Sattel I Samnaun - Funivia a va e vieni<\b> Anno di costruzione: <b>1978<\b>,<b>Ravaisch - Alptrider Sattel I Samnaun - aerial tramway<\b> Year of construction: <b>1978<\b>,Prflink,,
cimg5463,133225,578575,<b>Les Diablerets - Isenau Les Diablerets - Umlaufkabinenbahn<\b> Baujahr: <b>1974<\b>,<b>Les Diablerets - Isenau Les Diablerets - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>1974<\b>,<b>Les Diablerets - Isenau Les Diablerets - Funivia a movimento continuo<\b> Anno di costruzione: <b>1974<\b>,<b>Les Diablerets - Isenau Les Diablerets - Circulating cableway<\b> Year of construction: <b>1974<\b>,Prflink,,
cimg7566,146260,587971,<b>Gstaad - Eggli Gstaad - Umlaufkabinenbahn<\b> Baujahr: <b>1983<\b>,<b>Gstaad - Eggli Gstaad - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>1983<\b>,<b>Gstaad - Eggli Gstaad - Funivia a movimento continuo<\b> Anno di costruzione: <b>1983<\b>,<b>Gstaad - Eggli Gstaad - Circulating cableway<\b> Year of construction: <b>1983<\b>,Prflink,,
517_9596,151770,590540,<b>Saanenm”ser - Saanerslochgrat Gstaad - Umlaufkabinenbahn<\b> Baujahr: <b>1980<\b>,<b>Saanenm”ser - Saanerslochgrat Gstaad - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>1980<\b>,<b>Saanenm”ser - Saanerslochgrat Gstaad - Funivia a movimento continuo<\b> Anno di costruzione: <b>1980<\b>,<b>Saanenm”ser - Saanerslochgrat Gstaad - Circulating cableway<\b> Year of construction: <b>1980<\b>,Prflink,,
cimg7161,105770,637690,<b>Saas Fee - Spielboden Saas Fee - Umlaufkabinenbahn<\b> Baujahr: <b>1976<\b>,<b>Saas Fee - Spielboden Saas Fee - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>1976<\b>,<b>Saas Fee - Spielboden Saas Fee - Funivia a movimento continuo<\b> Anno di costruzione: <b>1976<\b>,<b>Saas Fee - Spielboden Saas Fee - Circulating cableway<\b> Year of construction: <b>1976<\b>,Prflink,,
cimg2235,214835,690830,<b>Sattel - Mostelberg Sattel - Umlaufkabinenbahn<\b> Baujahr: <b>2005<\b>,<b>Sattel - Mostelberg Sattel - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>2005<\b>,<b>Sattel - Mostelberg Sattel - Funivia a movimento continuo<\b> Anno di costruzione: <b>2005<\b>,<b>Sattel - Mostelberg Sattel - Circulating cableway<\b> Year of construction: <b>2005<\b>,Prflink,,
cimg2627,83230,581190,<b>Bourg-St-Bernard - Col de Menouve Bourg-St-Pierre - Umlaufkabinenbahn<\b> Baujahr: <b>1962<\b>,<b>Bourg-St-Bernard - Col de Menouve Bourg-St-Pierre - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>1962<\b>,<b>Bourg-St-Bernard - Col de Menouve Bourg-St-Pierre - Funivia a movimento continuo<\b> Anno di costruzione: <b>1962<\b>,<b>Bourg-St-Bernard - Col de Menouve Bourg-St-Pierre - Circulating cableway<\b> Year of construction: <b>1962<\b>,Prflink,,
cimg3431,150406,588370,<b>Sch”nried - Rellerligrat Gstaad - Umlaufkabinenbahn<\b> Baujahr: <b>1981<\b>,<b>Sch”nried - Rellerligrat Gstaad - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>1981<\b>,<b>Sch”nried - Rellerligrat Gstaad - Funivia a movimento continuo<\b> Anno di costruzione: <b>1981<\b>,<b>Sch”nried - Rellerligrat Gstaad - Circulating cableway<\b> Year of construction: <b>1981<\b>,Prflink,,
cimg4243,145070,605700,<b>Geils - Hahnenmoos Adelboden - Umlaufkabinenbahn<\b> Baujahr: <b>1974<\b>,<b>Geils - Hahnenmoos Adelboden - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>1974<\b>,<b>Geils - Hahnenmoos Adelboden - Funivia a movimento continuo<\b> Anno di costruzione: <b>1974<\b>,<b>Geils - Hahnenmoos Adelboden - Circulating cableway<\b> Year of construction: <b>1974<\b>,Prflink,,
cimg4364,183770,664135,<b>St”ckalp - Melchsee Frutt Melchsee-Frutt - Umlaufkabinenbahn<\b> Baujahr: <b>1976<\b>,<b>St”ckalp - Melchsee Frutt Melchsee-Frutt - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>1976<\b>,<b>St”ckalp - Melchsee Frutt Melchsee-Frutt - Funivia a movimento continuo<\b> Anno di costruzione: <b>1976<\b>,<b>St”ckalp - Melchsee Frutt Melchsee-Frutt - Circulating cableway<\b> Year of construction: <b>1976<\b>,Prflink,,
600_3048,163881,644464,<b>Grindelwald Grund - Holenstein Grindelwald - Umlaufkabinenbahn<\b> Baujahr: <b>1978<\b>,<b>Grindelwald Grund - Holenstein Grindelwald - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>1978<\b>,<b>Grindelwald Grund - Holenstein Grindelwald - Funivia a movimento continuo<\b> Anno di costruzione: <b>1978<\b>,<b>Grindelwald Grund - Holenstein Grindelwald - Circulating cableway<\b> Year of construction: <b>1978<\b>,Prflink,,
600_2854,163465,641400,<b>Holenstein - M„nnlichen Grindelwald - Umlaufkabinenbahn<\b> Baujahr: <b>1978<\b>,<b>Holenstein - M„nnlichen Grindelwald - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>1978<\b>,<b>Holenstein - M„nnlichen Grindelwald - Funivia a movimento continuo<\b> Anno di costruzione: <b>1978<\b>,<b>Holenstein - M„nnlichen Grindelwald - Circulating cableway<\b> Year of construction: <b>1978<\b>,Prflink,,
gentil12,231661,604139,<b>Oberdorf SO - Nesselboden Oberdorf SO - Umlaufsesselbahn kuppelbare Klemmen<\b> Baujahr: <b>1950<\b>,<b>Oberdorf SO - Nesselboden Oberdorf SO - T‚l‚siŠge … pinces d‚brayables<\b> Ann‚e de construction: <b>1950<\b>,<b>Oberdorf SO - Nesselboden Oberdorf SO - Funivia a movimento continuo<\b> Anno di costruzione: <b>1950<\b>,<b>Oberdorf SO - Nesselboden Oberdorf SO - Chairlift dome just clamp<\b> Year of construction: <b>1950<\b>,Prflink,,
gentil53,232741,605237,<b>Nesselboden - Weissenstein Oberdorf SO - Umlaufsesselbahn kuppelbare Klemmen<\b> Baujahr: <b>1950<\b>,<b>Nesselboden - Weissenstein Oberdorf SO - T‚l‚siŠge … pinces d‚brayables<\b> Ann‚e de construction: <b>1950<\b>,<b>Nesselboden - Weissenstein Oberdorf SO - Funivia a movimento continuo<\b> Anno di costruzione: <b>1950<\b>,<b>Nesselboden - Weissenstein Oberdorf SO - Chairlift dome just clamp<\b> Year of construction: <b>1950<\b>,Prflink,,
la siala 2010 055,191614,734944,<b>Grisch - La Siala Laax - Umlaufsesselbahn kuppelbare Klemmen<\b> Baujahr: <b>1982<\b>,<b>Grisch - La Siala Laax - T‚l‚siŠge … pinces d‚brayables<\b> Ann‚e de construction: <b>1982<\b>,<b>Grisch - La Siala Laax - Funivia a movimento continuo<\b> Anno di costruzione: <b>1982<\b>,<b>Grisch - La Siala Laax - Chairlift dome just clamp<\b> Year of construction: <b>1982<\b>,Prflink,,
cimg5517,216015,740466,<b>Prodalp - Prodkamm Flumserberg - Umlaufsesselbahn kuppelbare Klemmen<\b> Baujahr: <b>2006<\b>,<b>Prodalp - Prodkamm Flumserberg - T‚l‚siŠge … pinces d‚brayables<\b> Ann‚e de construction: <b>2006<\b>,<b>Prodalp - Prodkamm Flumserberg - Funivia a movimento continuo<\b> Anno di costruzione: <b>2006<\b>,<b>Prodalp - Prodkamm Flumserberg - Chairlift dome just clamp<\b> Year of construction: <b>2006<\b>,Prflink,,
518_3025,201011,718314,<b>Grotzenbel - Seblengrat Braunwald - Umlaufsesselbahn feste Klemmen<\b> Baujahr: <b>1969<\b>,<b>Grotzenbel - Seblengrat Braunwald - T‚l‚siŠge … pinces fixes<\b> Ann‚e de construction: <b>1969<\b>,<b>Grotzenbel - Seblengrat Braunwald - Funivia a movimento continuo<\b> Anno di costruzione: <b>1969<\b>,<b>Grotzenbel - Seblengrat Braunwald - Fixed grip chairlift<\b> Year of construction: <b>1969<\b>,Prflink,,
518_2660a,203095,718804,<b>B„chital - Seblengrat Braunwald - Umlaufsesselbahn feste Klemmen<\b> Baujahr: <b>1969<\b>,<b>B„chital - Seblengrat Braunwald - T‚l‚siŠge … pinces fixes<\b> Ann‚e de construction: <b>1969<\b>,<b>B„chital - Seblengrat Braunwald - Funivia a movimento continuo<\b> Anno di costruzione: <b>1969<\b>,<b>B„chital - Seblengrat Braunwald - Fixed grip chairlift<\b> Year of construction: <b>1969<\b>,Prflink,,
